name,classifier_name,f1_score,acc_test,recall_test,best_params
cf-lb,GradientBoostingClassifier,0.761715627,0.891533025,0.70025607,"{'learning_rate': 0.01, 'n_estimators': 150}"
anatomycv,GradientBoostingClassifier,0.945301432,0.89490244,0.765459029,"{'learning_rate': 0.01, 'n_estimators': 150}"
anatomycv,AdaBoostClassifier,0.944625756,0.882563573,0.647809181,"{'base_estimator': LogisticRegression(), 'n_estimators': 50}"
anatomycv,LogisticRegression,0.943945484,0.884946817,0.655870637,"{'C': 0.1, 'tol': 0.01}"
anatomycv,DecisionTreeClassifier,0.936665749,0.41630468,0.296709029,{'criterion': 'entropy'}
lb3cv,GradientBoostingClassifier,0.787786015,0.853847399,0.897622907,"{'learning_rate': 0.01, 'n_estimators': 200}"
lb3cv,AdaBoostClassifier,0.775279004,0.895100367,0.792814695,"{'base_estimator': LogisticRegression(), 'n_estimators': 150}"
lb3cv,DecisionTreeClassifier,0.772283851,0.852714224,0.901539708,{'criterion': 'entropy'}
lb3cv,LogisticRegression,0.764341995,0.856410533,0.889384117,"{'C': 0.1, 'tol': 0.01}"
lb2cv,AdaBoostClassifier,0.648588972,0.902930227,0.698624221,"{'base_estimator': LogisticRegression(), 'n_estimators': 50}"
lb2cv,LogisticRegression,0.606821975,0.902978368,0.711641681,"{'C': 0.1, 'tol': 0.01}"
lb2cv,GradientBoostingClassifier,0.580983782,0.903909108,0.712690481,"{'learning_rate': 0.01, 'n_estimators': 200}"
lb2cv,DecisionTreeClassifier,0.574633987,0.898918416,0.706459374,{'criterion': 'gini'}
lb1cv,AdaBoostClassifier,0.851707876,0.879607191,0.681624737,"{'base_estimator': LogisticRegression(), 'n_estimators': 50}"
lb1cv,LogisticRegression,0.848973801,0.881452885,0.701179766,"{'C': 1, 'tol': 0.01}"
lb1cv,GradientBoostingClassifier,0.845738546,0.868490757,0.571297743,"{'learning_rate': 0.01, 'n_estimators': 150}"
lb1cv,DecisionTreeClassifier,0.795856293,0.869448828,0.586920218,{'criterion': 'entropy'}
cf,LogisticRegression,0.707967043,0.8,0.735294118,"{'C': 10, 'tol': 0.01}"
cf,AdaBoostClassifier,0.696386408,0.8,0.764705882,"{'base_estimator': LogisticRegression(), 'n_estimators': 50}"
cf,GradientBoostingClassifier,0.689332637,0.81,0.794117647,"{'learning_rate': 0.01, 'n_estimators': 200}"
cf,DecisionTreeClassifier,0.629696993,0.79,0.647058824,{'criterion': 'gini'}
